Semana,Rol,Tarea,Entregable,Estado inicial,Prioridad
1,Product Manager,Definir alcance del MVP y métricas clave del dashboard.,Documento funcional del MVP.,Por hacer,Alta
1,Especialista en Marketing,Crear buyer personas y definir segmentos de audiencia.,Perfil de 3 buyer personas.,Por hacer,Alta
1,Analista de Datos,Crear dataset base en Google Sheets con métricas simuladas.,Archivo con datos mockeados.,Por hacer,Alta
2,Community Manager,"Diseñar primeros posts (captación, engagement, retención).",Kit inicial de 6 posts.,Por hacer,Media
2,Especialista en Marketing,Diseñar estrategia omnicanal (email + redes + blog).,Documento de estrategia.,Por hacer,Alta
2,Analista de Datos,Configurar conexión de datos en dashboard (Data Studio / Sheets).,Dashboard versión 1 (mock data).,Por hacer,Alta
3,Product Manager,"Validar coherencia entre contenido, métricas y automatización.",Feedback y ajuste del MVP.,Por hacer,Alta
3,Community Manager,Programar publicaciones simuladas (Zapier / Meta Suite).,Flujos de automatización de prueba.,Por hacer,Media
3,Analista de Datos,"Crear visualizaciones de KPIs: aperturas, clics, conversiones, retención.",Dashboard con gráficas y KPIs.,Por hacer,Alta
4,Especialista en Marketing,"Diseñar plantillas de email (bienvenida, carrito, retención).",Pack de emails editables.,Por hacer,Alta
4,Community Manager,Ajustar diseño visual del dashboard con el equipo UI.,Versión visual refinada.,Por hacer,Media
4,Product Manager,Coordinar demo intermedia con stakeholders.,Revisión y feedback de avances.,Por hacer,Alta
5,Analista de Datos,"Preparar informe con insights (engagement, conversión, ROI simulado).",Reporte final de resultados.,Por hacer,Alta
5,Product Manager,Consolidar demo funcional del MVP (dashboard + automatización).,Presentación final / demo.,Por hacer,Alta
5,Todos,Preparar recomendaciones de optimización y evolución del producto.,Informe final colaborativo.,Por hacer,Media
